TIMESTAMP,COIN,PRICE(USD)
2025-06-16 13:52,bitcoin,106877
2025-06-16 13:52,ethereum,2617.79
2025-06-16 13:52,solana,156.34
2025-06-16 13:52,dogecoin,0.176879
2025-06-16 13:53,bitcoin,106877
2025-06-16 13:53,ethereum,2617.79
2025-06-16 13:53,solana,156.34
2025-06-16 13:53,dogecoin,0.176879
2025-06-17 07:23,bitcoin,107579
2025-06-17 07:23,ethereum,2600.96
2025-06-17 07:23,solana,153.14
2025-06-17 07:23,dogecoin,0.174942
2025-06-17 09:24,bitcoin,107071
2025-06-17 09:24,ethereum,2583.91
2025-06-17 09:24,solana,153.75
2025-06-17 09:24,dogecoin,0.173892
2025-06-17 09:32,bitcoin,107029
2025-06-17 09:32,ethereum,2582.66
2025-06-17 09:32,solana,153.69
2025-06-17 09:32,dogecoin,0.173904
